ru,lez
"Этот высокий, красивый, хорошо говорящий юноша привлек внимание с первой роли, которую он сыграл во время учебы на II курсе Академии художеств.","Кьакьан буйдин, акунар авай, фасагьатлудаказ рахадай лезги жегьил а береда АПИ-дин II курсунин студент тир."
"Фарзалиев, сын Акбара Фарзали, получил телеграмму из Баку, когда проводил летние каникулы в Гусаре, своем родном селе Старый Худат.",Вичин хайибурал кьил чӀугваз КцӀар райондин ЦӀуру Худат хуьруьз хтай Акбер Ферзалидин хва Ферзалиева Бакудай телеграмма къачунай.
"Ему предложили главную роль в фильме ""Под красным солнцем.""","Адаз ""Ргар ракъинин кӀаник"" тӀвар алай фильмда кьилин роль теклифзавай."
"С радостью приняв предложение, Акбар быстро уехал в Баку.",Гадади и теклиф кьабулна ва ам тадиз Бакудиз рекье гьатна.
"Акбар Фарзалиев, мастерски сыгравший в этом фильме роль врача Айдына, вскоре стал кинозвездой.","Духтур Айдынан роль чӀехи бажарагъдалди тамамарай Акберал гуьгъуьнлай ""Ам тахьурай, им хьурай"" фильмда Уьзейир Гьажибегован образ яратмишун тапшурмишна."
"В 1956 году он устроился на киностудию ""Азербайджанфильм"" имени Дж.Джаббарлы, где до 1961 года снимался в различных интересных фильмах.",И ролни хъсандиз тамамарай ам 1956-йисуз Ж.Жаббарлыдин тӀварунихъ галай Азербайжандин Гьукуматдин Киностудиядиз кӀвалахал кьабулнай.
"Ему поручили создать образ У.Гаджибекова в фильме ""Да будет, пусть будет.""",А.Ферзалиев цӀудралди фильмра жуьреба-жуьре ролара къугъвана.
"Оно привлекло внимание молодых специалистов, мастерски сыгравших эту роль.",1957-йисуз Ташкентда кьиле фейи вирисоюздин кинофилмрин фестивалдин лауреат хьайи Акберан суракьар вириниз чкӀанай.
"Слава об Акбаре, ставшем лауреатом Всесоюзного кинофестиваля, проходившего в Ташкенте в 1957 году, распространилась повсюду.","1959-йисуз ""Корогълу"" филмда Эйвазан ролунай А.Ферзалиев Азербайжандин кино сенятдал рикӀ алайбурун дамахдиз элкъвенай."
"А. Фарзалиеву, мастерски сыгравшему роль Эйваза в фильме ""Кероглу"" 1959 года, достались интересные роли в фильмах ""Мачеха,"" ""Наша улица,"" ""Рассказы Моллы.""","Адал ""Тахай диде,"" ""Чи куьче,"" ""Фекьидин кьилел атайбур"" кинойра сад садалай марагълу роларни ихтибарнай."
"Молодому актеру посчастливилось работать вместе с такими великими артистами, как Мирзага Алиев, Сидги Рухулла, Агасадыг Гарайбейли, Малик Дадашов, Барат Шекинская, Мохсун Санани, Марзия Давудова, Лейла Бадирбейли.","А.Ферзалиеваз Мирзагъа Алиев, Сидкьи Ругьулла, Агъасадыкь Герайбейли, Мелик Дадашов, Барат Шекинская, Муьгьсуьн Сенани, Мерзия Давудова, Лейла Бедирбейли хьтин чӀехи сеняткаррихъ галаз санал кӀвалахун несиб хьанай."
Он также принимал непосредственное участие в озвучивании десятков фильмов.,Ада гьакӀни са шумуд йисуз цӀудралди филмар дубляж авунин карда мукьувай иштиракнай.
"Он был отцом троих детей, когда стал кинозвездой.",Азербайжандин машгьур киноактер хьайила Акбер пуд аялдин буба тир.
"Акбару, который часто получал интересные предложения, следует либо заняться искусством, либо быть близким к семье.","Ара датӀана марагълу теклифар къачузвай Акбера я сенят кьуна кӀанзавай, яни хизан."
"Он выбрал второй путь - в Гусару, переехал к своей семье.","Ада кьвед лагьайди хкяна, 1961-йисуз КцӀариз, вичин хизандин патав хтана."
"А.Фарзалиев восемь лет проработал здесь директором, а затем директором Дома культуры.","1963-йисуз КцӀара Лезги Театр кардик кутур А.Ферзалиева 1970-йисалди ана режиссорвиле, гуьгъуьнлай медениятдин кӀвалин директорвиле кӀвалахна."
"А. Фарзалиев, поставивший десятки спектаклей, пишет сценарии драм ""Яримин атас"" и ""Имам Шамиль.""","ЦӀудралди тамашаяр сегьнедиз гьазурай ада ""Яран буба"" ва ""Имам Шамил"" драмайрин сценариярни кхьена."
"Журналистский труд Акбара Фарзалиева ""Мои киновоспоминания"" можно назвать летописью азербайджанского кино 1950-х годов.","А.Ферзалиева кхьей ""Зи кинодин рикӀел хкунар"" публицистикадин ктаб 50-йисарин Азербайжандин кинодин тарихдин са чӀук яз гьисабиз жеда."
"А.Фарзалиев, окончивший юридический факультет Азербайджанского государственного университета по второму образованию, в течение 20 лет непрерывно работал юристом районного кооперативного союза и вышел оттуда на пенсию.","Кьвед лагьай вуз - Азербайжандин Гьукуматдин Университетдин юриствилин факультет акьалтӀарай А.Ферзалиева 20 йисуз райпотребсоюздин юриствиле кӀвалахна, гьанай пенсиядиз фена."
Алия Рамазанова,Алия Рамазанова
"Жизни и творчеству Алии Рамазановой писательница Фарида Ламан посвятила свою книгу ""Ангел искусства.""","Кхьираг Ферида Лемана вичин ""Сенятдин малаик"" ктаб Алия Рамазановадин уьмуьрдин рекьиз талукьарнава."
Один из концертов Азербайджанского государственного ансамбля песни и танца состоялся летом 1962 года в селе Пирал Гусарского района.,Кьуьлерин сенят девлетлу авур Алия Рамазановадин алакьунриз маэстро Ниязиди чӀехи къимет ганай.
"Почти вся деревня собралась за большим столом, открытым Шамсибалой на зеленой лужайке.",Адан гафарикай руьгь акатай лезги руша 25 йисуз ара датӀана инсанрин рикӀериз эсердай кьуьлер авуналди тамашачияр вичихъ ялнай.
"Красивые, веселые танцы продолжались до полуночи.",Инсанри адаз сенятдин шагьрузатдиз хьиз икрам авунай.
Алия Рамазанова родилась в 1941 году в селе Пирал Гусарского района.,Алия Аллагькъулудин руш Рамазанова 1941-йисуз КцӀар райондин Пиралрин хуьре дидедиз хьана.
"Алия была еще совсем маленькой, когда ее отец ушел на Великую Отечественную войну.","Буба дяведиз рекье гьатайла, кӀвале дидени кьуд гъвечӀи руш амукьнай."
"Когда ему было четыре года, умерла его старшая сестра, а затем и мать.",Дяве кис тахьанмаз чӀехи вах ва гуьгъуьнлай диде рагьметдиз фенай.
Он отвез свою сестру Марали к своему дяде Шамсибале.,"Текдиз амай пуд вахакай чӀехиди Аллагькъулудин стха Шемсибалади вичин кьилив хвена, муькуь кьве аял КцӀарин детдомдиз гана."
Абида и Алия были разлучены.,Кьисметди арха амачир вахар гьарад санихъ акъудна.
Алию разлучили с сестрой в детском доме в Гусаре и отправили в детский дом №11 в Баку.,Абур мад гъилера вад йисалай сад садал дуьшуьш хъхьана.
"После пяти лет стараний Алии вместе с ней в Баку перевезли Абиде, выросшего в Гутгашенском детском доме.",Къуткъашендин детдомда авай Абиде вад йисалай вичин кьилив - Бакудин 11-детдомдиз гъиз гайи Алия мад вахавай къакъатнач.
"Два года Алия занималась в волонтерском коллективе Резервной рабочей силы, которым руководил народный артист Бююкага Мамедов.",Алия манийрални кьуьлерал ашукь яз акур детдомдин директорди ам республикадин халкьдин артист Буьйуькагъа Мамедова регьбервал гузвай музыкадин коллективдиз ракъурна.
В 1958 году народные артисты республики Амина Дилбази и Алибаба Абдуллаев пригласили 16-летнего Алияна на работу в Государственный ансамбль песни и пляски после исполнения нескольких танцев в исполнении этого танцевального коллектива.,Садра алакьунар авай аялрин суракьда аваз иниз атай машгьур сеняткарар Амина Дилбазидизни Алибаба Абдуллаеваз 16 йиса авай и иер ва викӀегь лезги рушан кьуьлун акуна.
С этого момента опорой Алии стала Амина Дилбази.,Абуру Алиядиз Гьукуматдин Манидинни Кьуьлерин ансамблда кӀвалахун теклиф авуна.
"Алие посчастливилось работать вместе с такими артистами, как Солтан Гаджибеков и Ниязи.",Ина Алиядиз Солтан Гьажибегов ва Ниязи хьтин корифейрихъ галаз санал кӀвалахун несиб хьана.
"Созданные им танцы ""Вагзали-Мирзеи,"" ""Таракема,"" ""Белый цветок,"" ""Иннаби,"" ""Гейран,"" ""Черные провода,"" ""Назлана-назлана,"" ""Краса гор"" являются настоящими образцами искусства. .","Ада яратмишай ""Вагъзалы-Мирзейи,"" ""Терекеме,"" ""Лацу цуьк,"" ""Иннабы,"" ""Жейран,"" ""Назлананазлана,"" ""Дагъларин гуьзел"" хьтин кьуьлер рикӀелай тефидайбур я."
"На протяжении 25 лет во время своего знаменитого танца с стаканами, полными чая, он ни разу не выпускал их из рук.",Адан чай цанвай стаканар кьуна ийизвай кьуьл иллаки машгьур тир.
"Его сольные выступления в таких танцах, как ""Азербайджанская свадьба,"" ""Навруз,"" ""Три цветка,"" ""Узундера,"" ""Яллы,"" были уникальными.","- Адаз Къафкъаздин кьуьлер патал хсуси ""черкезка"" авай ва ада ара-ара ""Лезгинкадал"" илигдай."
"Сольное выступление Алии в танце ""Лезгинка,"" поставленное с участием ее коллег из Дагестана, всегда вызывало у нее бурные аплодисменты.","""Азербайжан тою,"" ""Новрузу,"" ""Уьч гуьл,"" ""Узундере,"" ""Яллы"" сюитайра Алиядин солояр къедалди инсанрин рикӀел алама."
"Сюиты ""Азербайджан,"" ""Ватан,"" ""Нефтчиляр"" и другие танцы исполнили заслуженные артисты Роза Джалилова, Туту Гамидова, Наиля Махмудова, Земфира Гасанова, Афаг Маликова, Горхмаз Гурбанов, Камиль Дадашов, Аликрам Асланов, Рафиг Азизи, Рамиз Мамедов и другие, созданные вместе с","Роза Жалилова, Туту Гьамидова, Афаг Меликова, Камил Дадашов, Къорхмаз Къурбанов, Рамиз Эйнуллаев хьтин сеняткаррихъ галаз санал кӀвалахай, 25 йисуз Азербайжандин кьуьлер вири дуьньяда теблигъ авур Алия Рамазановадиз 1982-йисуз ""Азербайжан Республикадин лайихлу артист"" гьуьрметдин тӀвар гана."
Гани Ганиев,Къени Къениев
Гани Ганиев со своей командой,Къени Къениев вичи регьбервал гайи коллективдихъ галаз санал
"Известный в нашей республике ансамбль песни и танца ""Шахдаг,"" слава которого распространилась повсюду, во второй половине ХХ века стал живой легендой.","Уьлкведиз сейли хьайи ""Шагь дагъ"" манийринни кьуьлерин ансамбль алатай виш йисан кьвед лагьай паюна мифдиз элкъвенай."
"Танцы в исполнении этого великолепного коллектива покорили внимание зрителей остротой, быстротой, красочностью и тонким юмором.","Лезги фольклордал бинеламиш хьайи ансамблдин репертуардихъ цӀудралди кьуьлер, сюитаяр, хореографиядин сегьнеяр ва композицияр квай."
"Весь успех коллектива, в репертуаре которого десятки национальных танцев, сюит, хореографических сцен и композиций, связан с именем его художественного руководителя, балетмейстера и солиста Гани Ганиева.",Адан вири агалкьунар Къени Къениевахъ галаз алакъалу тир.
"Ганиев Гани Пирмурад оглы, уроженец села Хулуг Гусарского района, остался сиротой в двухлетнем возрасте.",КцӀарин Хуьлуьхъ хуьре дидедиз хьайи Къени Пирмурадан хва Къениев кьве яшинда етим амукьнай.
"Известный танцор Камиль Дадашов, увидев способности подростка, окончившего 7 классов и поступившего в художественную школу №4 в Баку, выполнять сложные элементы очень быстрыми движениями, пригласил его в танцевальный коллектив, которым он руководил.","КцӀарин детдомда 7-синиф акьалтӀарна, Бакудин 4-нумрадин сенятдин мектебдиз ракъурай Къенидин викӀегьдиз кьуьлерун, четин элементар регьятвилелди кьилиз акъудун акур Азербайжандин сейли сеняткар Камил Дадашова ам вичи регьбервал гузвай ансамблдиз кьабулна."
Победитель танцевального конкурса между художественными школами Гани Ганиев приглашен в ансамбль Бакинского общества трудовых ресурсов.,Сенятдин мектебрин арада кьиле фейи конкурсда уфтан хьайи и жегьилдиз Бакудин Зегьметдин Игьтиятрин Жемиятдин ансамблдиз эверна.
В 1957 году он стал лауреатом международного фестиваля молодежи и студентов.,1957-йисуз Къени вири дуьньядин жегьилрин ва студентрин фестивалдин лауреат хьана.
"Организованные им танцы ""Лезгинка,"" ""Игидлар,"" ""Гайтаги,"" ""Даглар гызы"" нравятся всем.",Кьилди ансамбль туькӀуьрун теклиф кьабулай Къени Бакудай КцӀариз хтана.
"Гани Ганиев, организовавший десятки танцев, всегда находился в поиске.","1960-йисуз ""Шагь дагъ"" арадиз гъана."
Он шьёт сценические костюмы для коллектива в Дагестане.,"Ада цӀудралди цӀийи кьуьлер арадиз гъана, коллектив патал сегьнедин пекер цуз туна, сегьнедиз герек затӀар жагъурна."
"По инициативе Гани в Гусар на 9 месяцев приглашается на 9 месяцев солист знаменитого дагестанского ансамбля ""Лезгинка"" Джамаладдин Джамаладдинов, который готовит для коллектива новые танцы.","Къ.Къениеван теклифдалди Дагъустандин машгьур ""Лезгинка"" ансамблдин солист Жамалуддин Жамалуддинова кӀуьд вацра КцӀара коллектив патал цийи кьуьлер гьазурнай."
"Азербайджанский танцор Ариф Мамедов также работает над обогащением репертуара ""Шахдага.""",Гуьгъуьнлай азербайжанви сеняткар Ариф Мамедовани Къенидин тӀалабуналди ина цӀийи къурулушар гьазурнай.
Выступления ансамбля встречали бурными аплодисментами повсюду - от загородных клубов до концертных залов столицы.,"Ансамблди республикадин районра, Бакуда зурба концертар ганай."
"Высокий профессионализм продемонстрировали такие солисты, как Гаджали Ахмедов, Додик Шалмиев, Ганфат Хазарова, Мафар Багишов, Тахмина Багирова.","Гьажали Агьмедов, Додик Шелмиев, Къенфет Гьезерова, Мафер Багъишов, Тегьмине Багъирова хьтин солистри ансамблдин сейливал артухарнай."
Его зажигательные танцы поражали всех.,Къени Къениеван цӀайни ялав квай кьуьлери иллаки вири гьейранарзавай.
"В 1967 году ""Шахдаг,"" лауреат Всесоюзного фестиваля независимых коллективов, проходившего в Москве, завоевал симпатии любителей искусства своим исполнением на заключительном концерте, проходившем во Дворце съездов Кремля.","1967-йисуз Москвада кьиле фейи Вирисоюздин фестивалдин лауреат хьайи ""Шагь дагъ""ди Кремлда гайи концерт виридан рикӀяй хьанай."
"Эту легенду создал простой крестьянский мальчик - Гани Ганиев, глубоко интересовавшийся культурой и искусством своего народа.","ЦӀуд йисуз ара датӀана агалкьунар къазанмишай ""Шагь дагъ"" халкьдин медениятдал, харусенятдал ашукь тир са хуьруьнви гадади - Къени Къениева яратмишнай."
Имамали Ильясов,Имамали Илясов
"Имамали Ильясов и Ираят Алиева на концерте, посвященном празднику урожая.",Имамали Илясов ва Ирает Алиева Магьсулдин суварин концертда.
"Имамали Ильясов, посвятивший сцене 60 лет своей жизни, был певцом, музыкантом и актером.","Вичин уьмуьрдин 60 йис сегьнедиз бахш авур Имамали Илясов маничини, макьамчини, актерни тир."
Имамали Карамели оглы Ильясов родился в 1927 году в селе Хиль Гусарского района.,Имамали Керемалидин хва Илясов 1927-йисуз КцӀар райондин Хьилерин хуьре дидедиз хьана.
"Имамали, с детства учившаяся играть на сазе, позже играла на таре и своим прекрасным голосом пела лезгинские народные песни.","Ада гьеле гъвечӀизмаз чуьнгуьрдал, гуьгъуьнлай тардал ягъиз чирнай."
В 1946 году он был назначен художественным руководителем Гусарского районного дома культуры.,1946-йисуз И.Илясов райондин медениятдин кӀвалин художественный руководителвиле тайинарна.
"В то время появились лезгинские народные песни в исполнении Ахада Абдуллаева и Саатханым, а также песни в исполнении и исполнении Омара Айюбова из села Ашаги Лагар (впоследствии ему было присвоено почетное звание ""Народный артист Республики Дагестан"").), запоминались языками.",А йисара Агьад Абдуллаевани Саатханума лугьузвай лезгийрин халкьдин манийри вирибурук руьгь кутазвай.
"Усилия И. Ильясова, привлекшего в труппу таких исполнителей и организовавшего их концерты, не остались без результатов.","Ихьтин сеняткарар санал кӀватӀна, абурун концертар тешкил авур Имамалидин вичин алакьунар лагьайтӀа, генани зурбади тир."
"Помимо игры на таре, сазе и пения, он также выступал как юморист.","Ада чуьнгуьрдални тардал ягъиз, манияр лугьунилай гъейри, актервал ийиз, роларни тамамарзавай."
"Имамали, у которого высокий голос, никогда не пользовался микрофоном во время пения.",Вичихъ кьакьан ван авай Имамалиди манияр микрофон галачиз лугьудай.
"В 1948 году коллективу было присвоено звание лауреата Всесоюзного фестиваля искусств, а в 1967 году - звание лауреата I Республиканского фестиваля сельских художественных коллективов.",1967-йисуз коллективди Азербайжандин хуьруьн художественный коллективрин I фестивалда I чка кьуна.
"В 1978 году под руководством И. Ильясова в Хиль был создан фольклорный коллектив ""Мел.""","1978-йисуз И.Илясова Хьиле ""Мел"" тӀвар ганвай фольклордин коллектив арадал гъана."
"Ансамбль, исполняющий лезгинские народные песни и танцы, неоднократно участник республиканских и всесоюзных фестивалей.",Чи халкьдин маниярни кьуьлер теблигъ авур и коллективди са шумудра республикадин ва Советрин уьлкведин фестивалрин лауреатвилин тӀвар къазанмишна.
"Имамали Ильясов, сыгравший на сцене Гусарского государственного лезгинского драматического театра десятки ролей, - артист, любимый народом.",КцӀарин Гьукуматдин Лезги Драмтеатрдин сегьнедал цӀудралди ролар тамамарай Имамали Илясов кцӀарвийрин рикӀ алай сеняткар я.
Нора Алимова,Нора Алимова
"Песня ""Приходи к роднику"" запечатлена в памяти гусарцев как ""Песня Норы.""","""Ша булахдал"" мани къедалди кцӀарвийрин рикӀел ""Норадин мани"" хьиз алама."
Нора обладала талантом вызывать у людей любовь к лезгинским народным песням.,Норадихъ лезги манияр кӀанардай алакьунар авай.
"Он исполнял на сцене сложные акробатические движения, танцевал и пел.","Ада сегьнедал акробатди хьиз векъи гьерекатар ийидай, кьуьлдай, мани лугьудай."
"Настоящее имя и фамилия Эльзы Бакинской - Нора Алимова, покорившая сердца своими лезгинскими народными песнями.",Эльза Бакинская хьиз сейли тир и яргунви рушан асул тӀварни фамилия Нора Алимова тир.
"Нора, впервые выступившая в Баку с песней ""Гасимкенд"" на республиканском просмотре творческих коллективов, завоевала зрительскую симпатию своими песнями и танцами в 60-е годы.","Аял чӀавалай сенятдихъ ялай, лезги кьуьлерин, манийрин дад, дидед чӀалан тӀям ара датӀана кцӀарвийрив агакьариз алахъай Норади хупӀ хъсандиз лугьудай лезги манияр, инсандин рикӀ хъуьтуьлардай адан верцӀи ванци."
"В 1962 году Нора стала лауреатом фестиваля ""Цвети, родной Азербайджан.""","50 йисуз КцӀар райондин медениятдин кӀвалин, лезги халкьдин театрдин солистка хьана ам."
"Эта девушка, родившаяся в селе Хазра Гусарского района, с подросткового возраста связала свою судьбу со сценой и на протяжении 50 лет непрерывно работала солисткой Гусарского районного дома культуры и лезгинского народного театра.","1960-йисуз сифте яз Бакуда музыкадин коллективрин республикадин конкурсда ""Кьасумхуьр"" мани лагьай Эльза Бакинская 1962-йисуз республикадин фестивалдин лауреат хьанай."
"Когда ""Бескостная Нора"" превратилась в живой мостик с стаканами, полными чая, и запела песню ""Приходи к весне,"" зал разразился бурными аплодисментами.","""КӀараб галачир Норади"" гъилера стаканар аваз, кьил чилик галукьариз ""муьгъ"" туькӀуьрайла, лезгийрин виридалайни хъсан манийрикай тир ""Ша булахдал"" лугьудайла вири пагь атӀана амукьдай."
"До сих пор эта песня врезается в память людей как ""Песня Норы.""","И мани къедалди виридан рикӀел ""Норадин мани"" хьиз алама."
Зейнал Цигерханов,Зейнал Жигерханов
Зейнал Цигерханов танцует с народной артисткой республики Джамилей Байрамовой.,Зейнал Жигерханова республикадин халкьдин артист Жемила Байрамовадихъ галаз санал кьуьлзава.
"З. Цигерханов во время занятий в танцевальной школе ""Сувар.""","З.Жигерханов ""Сувар"" кьуьлерин мектебда."
"Зейнал Цигерханов, находящийся на вершине танцевального искусства уже 25 лет, являющийся акцентом кавказских танцев, обучает молодежь секретам этого вида искусства.","Къафкъаздин кьуьлерал рикӀ алай, 25 йисуз сенятдин шегьреда хьайи Зейнал Жигерханова жегьилриз и сенятдин сирер чирзава."
"Зейнал Хошмет оглы Цигерханов, танцор Азербайджана, родился в 1962 году в селе Акахур Гусарского района.",Азербайжандин тӀвар-ван авай кьуьлунин устӀар Зейнал Хушметан хва Жигерханов 1962-йисуз КцӀар райондин ЭчӀехуьре дидедиз хьана.
"После окончания Бакинского хореографического училища в 1980-1993 годах был направлен в Азербайджанский государственный филармонический ансамбль танца имени М.Магомаева, где долгие годы работал профессиональным танцором.","Бакудин 191-нумрадин юкьван мектебда кӀелдай вахтунда машгьур ""Жуьжелерим"" ансамблдин солист хьиз Закавказьедин фестивалдин лауреат хьайи З.Жигерханов Бакудин Хореографиядин Мектеб акьалтӀарайдалай гуьгъуьниз, 1980-1993-йисара М.Магомаеван тӀварунихъ галай Азербайжандин Гьукуматдин Филармониядин Кьуьлерин Ансамблдик экечӀна."
В 1993-2004 годах был солистом Азербайджанского государственного ансамбля танца.,1993-2004-йисара З.Жигерханова Азербайжандин Гьукуматдин Кьуьлерин ансамблда кӀвалахна.
"В этот период он достойно пропагандировал танцевальное искусство Азербайджана в нашей республике и далеко за ее пределами - более чем в 30 странах мира, где гастролировал.",Дуьньядин 30-далай гзаф уьлкведиз чи республика сейли авур сеняткарди гила вичин сенят жегьилриз чирзава.
"С 2003 года З.Цигерханов, являющийся руководителем танцевального ансамбля ""Гюнай"" Дворца культуры имени А.Искандерова ГНКАР, с 2003 года работает хореографом Ансамбля лезгинской песни и танца ""Сувар.""","Алай вахтунда Азербайжандин Гьукуматдин НафтӀадин Компанидин А.Искендерован тӀварунихъ галай медениятдин дараматдин ""Гуьнай"" ансамблдиз регьбервал гузвай Зейнал Жигерханов 2003-йисалай ""Сувар"" Лезги Манийринни Кьуьлерин ансамблдин хореограф я."
Захир Мустафаев,Загьир Мустафаев
"Созданный в 1989 году фольклорный ансамбль Гусара ""Трилло"" за короткий период времени своими выступлениями завоевал известность по всей республике.","1989-йисуз арадиз гъайи КцӀарин ""Трилло"" фольклордин ансамбль куьруь вахтунда вири республикадиз сейли хьана."
"Этот коллектив, занимающийся пропагандой лезгинских традиций, организовали преподаватели областной художественной школы.","Лезгийрин ацукьун-къарагъун, меденият, адетар теблигъзавай и коллектив райондин харусенятдин мектебдин муаллимрикай тешкилнавай."
Руководителем ансамбля стал директор школы Захир Мустафаев.,Ансамблдиз мектебдин директор Загьир Мустафаева регьбервал гузвай.
"Год спустя за успех ""Трилло"" было названо ""народным коллективом.""","Са йисалай ""Триллодиз"" ""халкьдин коллектив"" тӀвар гана."
"Хотя жизни ансамбля всего три года, до сих пор слышен его приятный вопрос.","Адан уьмуьр пуд йис хьанатӀани, къедалди хъсан суракьар ама."
Захир Джабраил оглы Мустафаев родился в 1959 году в селе Чилагир Гусарского района.,Загьир Жебраилан хва Мустафаев 1959-йисуз КцӀарин ЦӀалагур хуьре дидедиз хьана.
"Окончил Гусарскую городскую среднюю школу № 1, учился в музыкальном техникуме в Перми, а затем на духовом факультете Азербайджанской государственной консерватории.","Ада шегьердин 1-нумрадин юкьван мектеб акьалтӀарна Перм шегьердин музыкадин техникумда, гуьгъуьнлай Азербайжандин Гьукуматдин Консерваториядин нефесдин алатрин факультетда кӀелна."
"В 1986-2003 годах эту школу возглавлял З. Мустафаев, проработавший 10 лет преподавателем областной художественной школы.",10 йисуз КцӀарин Харусенятдин Мектебда муаллимвал авур ада 1986-2005-йисара аниз регьбервал гана.
"Ему удалось привлечь талантливую молодежь к получению среднего и высшего музыкального образования, обеспечить школу местными кадрами.","Адан алахъунар себеб яз гьа йисара харусенятдал рикӀ алай гзаф жегьилар техникумрикни институтрик экечӀна, мектеб чкадин кадрийралди таъмин хьана."
"В 2005-2007 годах З.Мустафаев, работавший заведующим районным отделом культуры и туризма, с 2008 года является директором Гусарской районной централизованной библиотечной системы.",2005-2007-йисара райондин медениятдинни туризмдин отделдиз регьбервал гайи Загьир Мустафаев 2008-йисалай райондин ктабханайрин системадин директор я.
"В результате его усилий 20 сельских библиотек региона были переселены в новые, более современные здания, пополнен книжный фонд, компьютеризирована центральная библиотека, открыт ее сайт, создана электронная библиотека.","Алай вахтунда ктабрин фонд гегьеншарнава, ктабханайрин система компьютерралди таъминарнава, веб сайт кардик кутунва, электрон ктабхана туькӀуьрнава."
"Согласно основному поручению, с 1 января 2011 года центральная библиотечная система Гусарского района переведена из IV группы в III группу оплаты труда.",Вичин агалкьунрай ктабханайрин система 2011-йисан 1-январдилай мажибар тайинарнавай IV группадилай III группадал элячӀнава.
Лезгин Октай,Лезги Октай
"Многие не знают, что лезгин Октай является автором песни ""Кендизим югыыылары,"" которая уже много лет является красавицей лезгинских свадеб.","Яргъал йисара лезги мел-мехъеррин дамахдиз элкъвей ""Чи хуьруьн иер рушар"" манидин чӀалар ва аваз теснифайди Лезги Октай я."
"Лезги Октай - автор песни ""Камила Гизым,"" которая когда-то была популярна в Азербайджане, Дагестане и республиках Средней Азии.","Са береда Азербайжанда, Дагъустанда, Юкьван Азиядин республикайра вирибурун рикӀ алай манидиз элкъвей ""Жемила къызым"" манидин авторни Лезги Октай я."
"Его песня ""Баку"" также запомнилась языкам.","Адан ""Бакы"" мани халкьдин меце эзбер тир."
"Эти песни он создал настолько искусно, что многие считают их народными.","И манияр ада акьван устадвилелди теснифнава хьи, яб акалдайбуру къедалди абур халкьдин манийрай гьисабзава."
Ахмедов Октай Салимхан оглы родом из села Хиль Гусарского района.,Октай Селимханан хва Агьмедован бубаяр КцӀар райондин Хьилерин хуьряй я.
Этот молодой человек с приятным голосом когда-то был красавицей бакинских свадеб.,"Вичихъ кьакьан, везинлу ван авай Октай са береда Бакудин межлисрин абур тир."
Алахусус с большим энтузиазмом исполнял песни собственного сочинения.,Иллаки вичин манияр чешнелудиз лугьудай Октая.
"В 1992 году, когда ему было 37 лет, у молодого человека внезапно упал голос.",1992-йисуз 37 яшинда аваз месе гьатай жегьилдин ван садлагьана квахьна.
"Такие его песни, как ""Хилин баглари"" и ""Мое родное село,"" пользуются популярностью среди народа.","Гьа чӀавалай яратмишунрикай яргъал хьайи шаир-композиторди вич начагъ ятӀани ""Хьилерин багълар,"" ""Зи хайи хуьр"" хьтин манияр теснифнай."
